texts,labels
"51. ainda tenho minha carta de suicídio guardada, não consigo jogar fora, me lembra de tudo q passei e o quanto sou forte",0
se um dia eu cometer suicidio nem precisa de carta todos ja sabem que foi por causa das aula de matematica,0
Achei uma carta de suicídio que fiz há muito tempo,0
"reescrevi minha carta de suicídio, é apenas uma e mais simples",0
Voltar as origens e fazer carta de suicidio,0
Eu cheguei a escrever uma carta de suicídio de duas folhas p vocês terem noção de como eu estava mal e decidido a morrer,0
"Hoje eu tava vendo um video que eu gravei onde eu tava chorando muito e desejando estar morto, na verdade, eu estava lendo uma carta de suicídio que eu escrevi. A luta que foi chegar até o ponto onde eu tenho a coragem de gravar um vídeo assumindo a minha identidade de gênero...",0
mano voces tao ligado que minha carta de suicídio vai ter tipo umas 3 página xingando voces ne,0
todo dia eu fzd uma carta de suicidio e n me matando e tendo q jogar ela fora pra ngm achar fodah,0
"achei a minha primeira carta de suicídio, acho que vou queimar. eu li e senti tanta coisa ruim",0
E meus amigos que acham que minha carta de suicídio foi uma declaração de amor coitados kk,0
"eu vou escrevendo minha carta de suicídio à cada dia, na esperança de um dia ser forte o suficiente a ponto de terminar isso",0
como começar uma carta de suicídio?,0
"hj a internet caiu por 4 horas, com certeza foi um sinal pra mim começar a escrever minha carta de suicidio",0
"Agora vai. Fui galera. Aproveitem oq eu não aproveitei.  Escrevi a minha ""carta de suicídio"" antes do que imaginava. Então me perdoem pelo oq eu vou fazer. Mas deu pra mim.",0
Hoje era o dia que eu tinha marcado na minha carta de suicídio e mais uma vez estou aqui viva k,0
"N adianta fazer palestra sobre bullying falando que achou carta de suicídio minha, que eu to melhorando, e em casa me chamar de burra, inútil e me xingar",0
"minha carta de suicidio vai estar no meu tumblr pessoal, me segue la",0
Aprender LaTeX pra fazer uma carta de suicídio bem bonitinha e formatada,0
"pensando em escrever uma carta de suicídio, acho mt chique",0
Como vou fazer alguém feliz se penso na minha carta de suicídio todos os dias?,0
frase perfeita pra colocar na minha carta de suicídio,0
Se eu realmente tiver coragem de me matar d uma vez eu vou tratar de dar um sermão nuns aí na minha carta de suicídio pra ver se assim os imbecis se tocam do quão escrotos são,0
aula de matemática e eu escrevendo carta de suicídio,0
triste com a nota de redação e planejando meu suicídio abraçada com a prova,0
"Ngm sabe da madrugadas que eu passo chorando,ngm sabe dos dias em que oque eu mais quero e acabar com a minha vida,ngm soube do dia do que eu mas precisava era um abraço,ngm NUNCA sabe como eu realmente estou.Sou sempre eu, apenas eu comigo mesma,me consolando e dizendo q tô bem.",0
Eu continuo empurrando as coisas que acontecem na minha vida com a barriga…,0
"Eu não consigo me abri com ninguém, e nem explicar oq eu tô sentindo, as vezes eu só queria acabar com a minha vida. Mas o maldito medo contante que eu sinto me impede até de fazer isso. Eu sou totalmente e definitivamente o ser mais inútil desse mundo",0
eu vou acabar com a minha vida,0
Que vontade de acabar com a minha vida 💋,0
E vou acabar com a minha vida se eu continuar aqui,0
to me sentindo tão mal e nessas horas que dá vontade de fazer uma merda e acabar logo com a minha vida,0
"Eu até podia contar a história dos dias em que pensei acabar com a minha própria vida.. mas ya, é muito forte.",0
As vontades que eu tinha de acabar com a minha vida em 2016,0
"Vou fazer uma parada que vai acabar com a minha vida ,aguento mais isso nn ff",0
Só quero que chegue domingo logo  Vou acabar com a minha vida naquela quadra,0
"Existem tantas pessoas aí que só querem mais um dia de vida e eu só queria acabar com a minha. Percebo que me machucava pelas pessoas e coisas erradas, me jogando cada vez mais em um poço.",0
alguem se habilita a dar um tiro na minha cara e acabar com a minha vida por favor?,0
"minha depressão, ansiedade, e baixa autoestima sabendo que são as únicas que conseguem acabar com a minha vida",0
Setembro é meu aniversário e eu só consigo lembrar q em outubro faz dois anos q eu quase consegui acabar com a minha própria vida,0
puta que me pariu eu só quero acabar com a minha vida,0
queria tanto ter coragem pra acabar com a minha vida de uma vez,0
"Vontade de desistir, acabar com a minha vida",0
"na moral,eu desisto de tentar ser melhor,tudo na minha vida dando errado,eu sou um lixo😔parabéns conseguiram acabar com meu dia",0
"Muitos acham que estão livres disso, eu tbm já pensei assim, mas eu me vi sem saída, senti um aperto no peito, um desespero na alma, um buraco enorme dentro de mim, e tentei acabar com isso tirando minha vida! Não se culpe tanto, não dá pra ser forte todo dia! Tenha fé",0
Eu só queria acabar cm minha vida logo de uma vez,0
"até pra acabar com minha própria vida, eu me sinto um lixo",0
esse ano ou minha vida tem que acabar logo.,0
As vezes eu sinto que talvez não aguente mais tudo isso e surte de vez,0
talvez MAS SÓ TALVEZ eu não aguente mais essa vida,0
"caralho mano não aguento mais viver, não da mais, vou me matar",0
"Mais uma semana, vamos supor que eu não aguente mais",0
"Sabe quando tudo aponta, e você também sabe, que o melhor é desistir? Penso nisso sempre, tanta decepção, falsidade, gente que não se importa, pessoas querendo te passar a perna. Eu só fico, POR FAVOR, aguente mais um dia",0
Eu assisti um filme indicado pela minha amiga agora não sei oque vale a pena na minha vida,0
a vida não vale a pena,0
Mais uma vez me sentindo um lixo de pessoa.  Mais uma vez pensando se vale a pena estar aqui,0
a cada dia que passa a vida me mostrando que não vale a pena,0
pronto para morrer,0
"Qualquer coisa já estou pronto para morrer, por isso é tranquilo",0
"6 dias, 8 treinos e 1 jogo! Pronto para morrer",0
queria morrer  serase eh pedir muito ou ainda não estou pronto para q o tobogã infernal se abra e eu caia direto no colo de lúcifer,0
Eu estava sempre pronto para morrer,0
"Indo dormir, espero que seja para sempre! bj",0
só queria dormir para sempre,0
eu queria dormir para sempre,0
Já me contento com dormir para sempre,0
Só queria deitar e dormir para sempre pra conseguir descansar de tudo isso,0
Que vontade de dormir para sempre,0
Tou tão farta só queria dormir para sempre sinto-me mesmo inútil fds,0
"Sei lá, só queria dormir para sempre",0
"agora irei dormir só volto pro twitter quando estivermos bem  ou seja, adeus para sempre",0
Nunca implorei tanto pra morrer como agora eu quero morrer,0
eu odeio minha vida eu realmente quero morrer,0
bom dia quero morrer,0
Agora que são 08h e eu ja quero morrer,0
quero morrer,0
"transformei minha mente em um inferno, eu quero muito morrer :)",0
eu quero morrer de novo,0
Quero morrer!,0
eu quero morrer mds,0
"não ligo, quero morrer",0
Quero morrer na moral,0
Sera que morrer é descansar mesmo? Pq se for eu quero,0
quero morrer :(,0
eu realmente quero morrer,0
terapia quero morrer,0
por isso quando morrer não quero que ngm saiba só vou ter sumido nem pessoas daqui nem pessoas da internet tipos de squad que esses mesmos fingem que gostam de mim e vao falar mal,0
n aguento estas dores quero morrer,0
"So pra não perder o costume dessa semana, QUERO MORRER LOGO QUE INFERNO",0
"Não aguento mais fingir que estou bem, que sou feliz, não aguento mais guardar as coisas pra mim, quero é morrer não suporto essas pessoas essa vida crc que tristeza que mágoa.",0
"Por favor, não pensem que estou brincando quando digo que quero morrer.",0
"Antigamente eu pensava de viver até uns 100 anos, mas ultimamente só quero morrer cedo...",0
"tô triste quero morrer,não é um meme é um pedido de socorro",0
Quero morrer,0
Hoje eu só quero morrer,0
EU QUERO MORRER É ISTO!!!,0
quero morrer. não vou entrar aqui hoje.,0
Eu quero morrer ☺️☺️,0
Eu não aguento mais. Eu quero morrer. Por dentro eu já tô morta há muito tempo mesmo...,0
"quero ir para casa, e chorar até morrer",0
Tá. Eu quero morrer.,0
quinta com q de quero morrer,0
quero morrer 🤙🏻🤙🏻🤙🏻,0
“Morreu fazendo o que sempre sonhou fazer: morrer”,0
Belo dia para morrer,0
Vontade de morrer que nunva passa.,0
to querendo morrer meu deus que vergonha,0
ai ai afim de morrer,0
Eu tenho que levantar e eu prefiro morrer,0
sla morrer seria melhor,0
gente NAO DÁ pra aguentar siriri é melhor pedir pra MORRER,0
Tem dias que viver nao vale a pena,0
Nao vale a pena viver pra ver isso,0
viver não vale a pena,0
voltei a ter pensamentos de que não vale a pena viver,0
"Eu não vejo mudanças. Acordo de manhã e me pergunto, Vale a pena viver a vida? Eu devo atirar em mim mesmo? ",0
Na boa vou dar um conselho: nao vale a pena viver,0
viver não vale mais a pena,0
nao vale a pena tentar viver mais vei,0
nada disso vale a pena. viver não vale a pena.,0
não vale a pena viver nesse mundo,0
Viver não vale a pena,0
cansei dessa vida sofrida,0
"Cansei dessa minha vida , porra",0
Affs cansei dessa vida tóxica,0
"Cansei dessa vida, vo dormir e sonhar que morri",0
"sinceramente, cansei dessa vida",0
"quero morrer, cansei dessa vida...",0
Cansei de viver...,0
"cansei de viver, alguém me mata",0
"ai mano  cansei de viver, eh real",0
Cansei!  Cansei de ir atrás de pessoas que n ligam   Cansei de viver por trás das sombras  Cansei realmente de VIVER,0
Olha eu cansei de viver,0
"Ai, quero q o mundo acabe logo, cansei de viver ",0
Aí eu cansei de viver  pode me levar,0
"Chega, cansei de viver!",0
"Cansei de viver, agr acabou",0
Cansei de pessoas não fui feito pra viver em sociedade na moral,0
fodase cansei de viver,0
cansei de viver minha vida é muito chata nem eu aguento,0
namoral cansei de viver,0
Cansei de viver assim,0
Cansei de viver real,0
cansei de viver,0
Bora de suicídio pois cansei de viver flw aí pra vcs bjos,0
"a não viu, desisto da vida é isto",0
"Mds, eu desisto da minha vida",0
Desisto da vida 👍🏾,0
EU JURO Q DESISTO DA VIDA AGORA,0
Eu desisto da vida,0
Ser for igual ou pior q esse ano meu suicidio já vem pronto,0
eu sou tão lixo que eu consigo falhar até no meu suicídio olha que incrível,0
uma hora planejo meu futuro e outra o meu suicídio,0
Aí que vontade de um pequeno suicídio,0
eu queria muito mesmo ter força de vontade de me matar,0
Alguém me da uma arma que eu vou la agora me matar,0
"Penso nele todo dia, mas meu maior medo é tentar me matar e não servir nem pra morrer",0
Queria ter coragem p cometer um suicídio,0
Suicídio é a solução,0
quero cometer suicidio a dois com uma bela dama.,0
"Eu fui MAIS UMA VÍTIMA a tentar o suicídio, mas não consegui.",0
obg por contribuir no meu suicidio,0
"Tempo bom pra fazer aquilo que começa com ""s"" ,isso msm, suicídio",0
eh pra mim ja deu vou concretizar o meu suicidio,0
"Caralho, vou me matar",0
na moral quem eh q quer me matar,0
minha depressão ainda vai me matar.,0
Tempinho bom pra passar uma lâmina no pescoço e me matar assim como minha mãe disse pra mim fazer.,0
Posso me matar agora ?,0
"Eu quero me matar, completamente desligada",0
Vou me matar adeus,0
"gata, pode me matar, vai, me mata, vai",0
Não há um dia que eu não me faça o questionamento se vale a pena viver.,0
viver não vale a pena,0
Qual seria um melhor suicídio  1-arma 2-pular de um lar bem alto,0
toxicos to pra cometer suicídio,0
vou ver se eu cometo um homicídio ou suicidio,0
Como faço para cometer suicído,0
Tô pensando em suicídio já,0
"hoje a gente tava falando de depressão e suicídio no cursinho acabei de me tocar que faz um ano desde a última vez que pensei em me matar  mt feliz de poder dizer que nunca mais pensei, e que hoje tenho mais força pra enfrentrará certas coisas",0
"O suicídio, está sendo a única solução.",0
puta que pariu o suicidio é a unica solução pra hj,0
Planejando seriamente meu suicidio,0
disposta a cometer um suicídio,0
"dps dessa vou ali cometer suicidio, flw",0
Eu queria ter morrido na primeira vez que eu tentei suicídio,0
Ser for igual ou pior q esse ano meu suicidio já vem pronto,0
evitando o suicídio de vcs e planejando o meu KKKK,0
"Se suicídio não garantisse a entrada  direto pro inferno, eu já teria me matado a mt tempo",0
"por mas triste que pareça, eu voltei a pensar em suicídio",0
lindo dia para um suicídio,0
como será q é a mente de alguém que nunca pensou em suicidio? sonho,0
hoje ta um dia perfeito pra um suicídio,0
"esse ano foi o qual eu mais pensei em suicídio e cada dia que passa essas ideias ficam mais ativas na minha cabeça. eu não vejo mais razão pra nada desde 2016 mas ninguém nunca me escuta, e sinceramente eu só aguento pq quero ver minha mãe terminando as coisinhas dela...",0
Desculpa mais vai ter uma hora q eu vou cansar e vou cometer suicídio.,0
que inferno meu deus quero me matar,0
hoje vou me matar,0
tudo passa menos a minha vontade de me matar,0
"Penso nele todo dia, mas meu maior medo é tentar me matar e não servir nem pra morrer",0
viver não vale a pena no meu caso,0
Segunda com S de suicidio,0
meu corpo pede suicídio,0
Suicídio é a solução,0
Diga sim Ao Suicídio ...,0
Mil e um motivos pra comer suicídio,0
Laudo médico: com vontade de cometer um homicídio...ou suicídio,0
vou me matar,0
falta menos do q me faltava pra eu matar logo,0
ninguém:   absolutamente ninguém:  eu: vou me matar,0
queria morrer sem ter q me matar e sem minha família sofrer,0
Hoje a minha vida tá totalmente desfavorável eu quero matar um e logo após me matar tbm,0
caralho acho q eu vo me matar pqp muito burra,0
eu trancando minha vontade de me matar para não deixar minha família triste,0
Tem ngm querendo me matar logo nao?,0
nao sei oq falar meu deus eu vou me matar,0
"eu quero me matar, mas ninguém acredita em mim",0
Eu vou ter que me matar,0
Todo dia torcendo p eu ter coragem de me matar logo,0
Pensando seriamente em fazer minha carta de suicídio kkkkkk,0
pensando no que vou escrever na minha carta de suicídio,0
eu fiz minha carta de suicídio.,0
pelo o menos a minha carta de suicídio vai ficar incrível 🤩,0
interpreta isto como a minha carta de suicídio,0
Minha carta de suicidio ja tem destinatário,0
ai que vontade de desistir de tudo e  acabar com a minha vida,0
não consigo parar de pensar em acabar com a minha vida,0
"Vontade de acabar  com a minha vida, que vida de merda",0
querendo acabar com a minha própria vida,0
Estou tão farto disto só me apetece acabar com a minha vida,0
espero o momento certo e a coragem devida pra poder acabar com a porra da minha vida,0
todo dia a mesma vontade de acabar com a minha vida,0
bom dia eu quero morrer,0
"Mano do céu, só quero morrer, na boa...",0
como zaqueu eu quero morrer,0
segunda-feira e eu já quero morrer!,0
eu quero morrer mas que inferno,0
Nem parece que quero morrer,0
"QUE OTIMA HORA PRA TER UMA CRISE, EU QUERO MORRER",0
"eu só quero sumir, se eu morrer ninguém vai sentir falta, a vida de todo mundo vai ser melhor eu só quero desaparecer",0
cheguei mas quero morrer,0
Quero morrer bom dia,0
"segunda feira e eu já quero morrer, essa semana vai ser top",0
aii cansei dessa vida pqp,0
"Gente, eu literalmente cansei dessa vida",0
cansei dessa vida de caralho vou me matar,0
Cansei dessa vida viu,0
cansei dessa vida já,0
cansei de viver  estou triste demais,0
cansei de viver em,0
eu cansei de viver agora,0
Não dá. Cansei de viver assim.,0
eu já cansei de viver sério,0
cansei de viver ja,0
Desculpa eu cansei de viver assim,0
"cansei de tudo isso, vou acabar com a minha vida",0
cansei de viver assim,0
cansei de viver,0
Cansei de viver é isto,0
"Nossa meu tô exausta, cansei de viver nmrl",0
fodase cansei de viver ja,0
Desisto da minha vida pq olha nd da certo,0
ai desisto de tudo,0
"desisto de tudo, foda se",0
"mano , eu desisto de tudo",0
desisto de tudo sério,0
Eu definitivamente desisto de tudo !,0
"Eu desisto, desisto de tudo...",0
Desisto de tudo hoje,0
eu desisto de tudo fim,0
"VAI SE FODER, DESISTO DE TUDO NESSA MERDA",0
a eu desisto de tudo,0
"eu desisto da minha vida e de tudo, aí cansei",0
"desisto de tudo, cansei",0
"eu cansei de tentar, eu simplesmente desisto de tudo.",0
eu desisto de tudo.,0
eu desisto de tudo,0
"Estou desistindo de tudo aos poucos, logo mais desisto até de mim.",0
eu realmente desisto de tudo.,0
"Olha, eu desisto de tudo",0
"desisto de tudo, sério",0
eu só queria cometer um suicídio,0
"quem quiser me beijar, beija logo antes que eu cometa suicídio",0
"Queria cometer um suicídio que matasse a dor, e deixasse a vida.",0
"se suicídio não me levasse pro inferno, já estava morto",0
Mais um fim de mês que eu cogito suicídio nada de novo por aqui,0
Meu suicídio tá próximo e depois não quero ninguém no meu caixão,0
pensando em suicídio as 24 hrs do dia,0
Suicídio é a solução,0
Pensando em cometer suicídio 🤩,0
suicídio com certeza seria a solução.,0
Evitando o suicídio dos amigos e planejando o meu,0
Sextou com S de suicídio,0
a cada dia a vontade de cometer suicídio aumenta mais,0
Todo dia a mesma vontade de cometer um suicídio,0
que vontade de me matar,0
n da mais vou ter que me matar,0
Ah mano eu tô muito triste vo me matar fodase,0
eh melhor me matar,0
eu queria mt ter coragem pra me matar,0
ja vou até escrever minha carta de suicídio aqui,0
escrevendo a carta de suicídio 🤪,0
pensando no que vou escrever na minha carta de suicídio,0
pelo o menos a minha carta de suicídio vai ficar incrível 🤩,0
interpreta isto como a minha carta de suicídio,0
minha nota de suicidio acima,0
Queria muito ter coragem de acabar com a minha vida,0
"A vida podia acabar em barrancos hoje. Eu não aguento mais, minha Nossa Senhora.",0
todo dia eu arranjo um jeito de acabar com a minha vida,0
"Falta pouco pra eu acabar com minha vida, não to aguentando mais.",0
Talvez eu não aguente mais,0
"Ok, fodase eu admito  Talvez eu não aguente mais viver",0
Tô pronto para morrer 💓,0
Não vale mais a pena viver,0
Não quero mais viver,0
"cansei da minha vida, já pode acabar",0
já estou pronto para morrer,0
penso todos os dias em me suicidar,0
"se eu me matar, ninguém vai se importart",0
não aguento mais essa vida,0
"Quero morrer, tipo agr",0
"Quero morrer, tipo agora",0
quero morrer logo,0
quero tanto morrer,0
tudo que eu mais quero eh morrer mas eu tenho medo de morrer,0
"As vezes eu fico num fundo do posso, me sentindo um nada, sem querer sair da cama ou ir trabalhar, só quero chorar e morrer",0
"to mto triste, nao quero falar com ngm hj e so quero morrer.👍🏻👍🏻👍🏻",0
so quero deitar e morrer,0
Quero morrer sou a maior merda de sempre,0
que saco porra eu so quero morrer,0
MDS mano quero morrer véi,0
Eu quero morrer,0
eu odeio minha vida eu odeio todo mundo eu só quero morrer,0
"namoral eu não aguento mais, eu só quero morrer mano",0
"Eu só quero morrer, por que é tão difícil?",0
"aquelas crises de “quero morrer” voltaram, que delícia",0
queria morrer,0
Eu só tenho um desejo hoje e é morrer,0
Só penso na palavra com s suícidio,0
Não quero estar vivo nesse dia.,0
"Um pouco menos que uma semana e já tenho todo o plano de suicídio na cabeça, incrível como minha mente me destrói",0
"acordei de madrugada pensando em suicídio, fiz um puta plano e sendo sincera eu só preciso de uma oportunidade",0
estou fazendo meu plano de suicídio,0
Eu tenho que pensar em um novo plano de morte...,0
Eu so nao desisto de tudo pq eu não tenho nada,0
"Olha, eu só não desisto de tudo... Pq eu não tenho nada",0
"eu só não desisto de tudo, pq eu não tenho nada",0
"olha eu só não desisto de tudo, porque eu não tenho nada",0
"Oia, eu só não desisto de tudo, porque eu não tenho nada.",0
olha sinceramente eu só não desisto de tudo porque eu não tenho nada,0
"Gente, eu só não desisto de tudo pq eu não tenho nada",0
Desisto de tudo e de todos,0
"Desisto de tudo nessa porra,",0
fodase irmao eu desisto de tudo,0
"Real, desisto de tudo. Cansei!",0
"Eu desisto de tudo, não aguento mais, cheguei no meu limite meu corpo está cansado e eu preciso de paz e descanso",0
"Desisto de mim, de tudo, a sério, desisto",0
eu desisto de tudo,0
"Desisto de tudo, fé em deus",0
"Eu desisto de tudo namoral, ja me estressei demais com altas coisas...",0
"na moral, eu só não desisto de tudo por que não tenho coragem",0
"na boa, eu desisto do amor, eu desisto de tudo.",0
"Eu não aguento mais minha vida, desisto de tudo",0
Desisto de tudo e de todos ,0
eu literalmente desisto de qualquer coisa,0
"Estou cansado de dar tudo errado na minha vida, desisto…",0
"agora é sério, eu desisto de tudo, eu juro que cansei.",0
eu desisto da minha vida,0
eu desisto da vida,0
eu desisto da vida pqp,0
Eu desisto de todas as formas da minha vida,0
Eu desisto da vida e de tudo,0
"Poxa ninguém me ama mais, desisto da vida!",0
cada dia que passa eu desisto mais da minha vida..,0
"Desisto da vida, juro, não tá dando",0
"Porra, desisto da vida",0
"Porra, desisto dessa vida",0
Ok então desisto da vida,0
no mas eu desisto da minha vida,0
Fodase eu desisto da vida,0
cada dia que passa eu desisto um pouco da minha vida,0
Desisto da vida juro,0
cansei de viver,0
"Mano do céu, desisto da minha vida",0
Amiga eu cansei de viver sério,0
tá cansei já de viver nessa merda,0
cansei de viver assim,0
ai vou dormir cansei de viver,0
"só acho q deus podia me levar logo, já cansei de viver",0
vermelha com ctz imagina viver p sempre pqp ta maluco to com 21 e já cansei de viver,0
cansei de viver mesmo,0
"Deus me livre ser imortal, ja cansei de viver",0
ai cansei de viver viu,0
"cansei de viver, papo reto.. foda-se tudo!!",0
Cansei de viver real,0
cansei de viver pqp! esse ano tem mais jeito não,0
eu simplesmente cansei de viver,0
cansei de viver serio gente pra mim ja deu,0
"cansei de tudo, viver já não faz mais sentido.",0
"ai cansei de viver onde eu acho o botão ""sair""?",0
A cansei de viver e td dar errado,0
Cansei de uma certa coisa chamado de viver,0
alguém me mata ? já cansei dessa vida.,0
e pode ser na violência mesmo      fodase cansei de viver,0
eu morreria hj cansei dessa vida de merda,0
"Sério cansei dessa vida, desânimo do carai",0
"N aguento mais me sentir mal td dia, cansei dessa vida",0
"papo reto po, cansei dessa vida",0
"Cansei dessa vida, de verdade",0
ai gente não da mais cansei dessa vida,0
"caralho, cansei dessa vida",0
acho q ontem foi o dia de prevenção contra o suicidio e eu só penso em me matar,0
"Ah não, vou me matar",0
Aff vou me matar que krl,0
eu vou me matar,0
eu quero me matar é tudo que eu quero agora eu não aguento mais.,0
avisa que eu vou me matar,0
vo me matar,0
meu caralho eu vou acabar com a minha vida hoje,0
eu queria tanto poder acabar com tudo e morrer logo,0
ok talvez eu não aguente mais,0
Não tem quem aguente cara! Eu não aguento mais,0
to me sentindo tão mal ultimamente e eu preciso dar um jeito nisso antes que eu não aguente mais,0
ok fodase eu admito talvez eu nao aguente mais,0
"sei lá, talvez eu não aguente mais",0
Ok foda-se eu admito Talvez eu não aguente mais tudo isso,0
atualmente eu só desisti da vida mesmo,0
"Vamos la, digamos que eu nao aguente mais...",0
Não dá mais para viver,0
Pronto para morrer,0
Pronto para morrer agora,0
ele tá igual a mim pronto para morrer,0
quero morrer q ódio,0
quarta feira com q de quero morrer,0
Eu quero morrer mais não quero me matar...,0
"Hoje eu só quero morrer, namoralzinha",0
Eu quero morrer eu não aguento mais meus pensamentos,0
Eu tô numa crise e eu quero morrer meu deus,0
meu deus eu quero MORRER,0
Quero morrer...,0
Só quero morrer,0
serio eu quero morrer,0
"mano, eu quero morrer",0
Quero morrer juro,0
Quero morrer aaaaa,0
QUERO MORRER,0
ai quero morrer,0
velho que vontade de morrer,0
por mim eu podia morrer hj msm,0
só queria morrer,0
Morrer se calhar era o melhor,0
Morrer sozinho é a melhor opção,0
Eu estaria MT melhor morto,0
Eu estaria muito melhor morto,0
As vezes estar morto era melhor,0
acho q tá melhor morrer,0
Eu morto estava melhor,0
nem bebado nem de ressaca melhor era ta morto,0
queria estar da melhor forma  MORTO,0
"Morrer é a saída mais fácil, e muitas vezes parece a melhor saída.  Morrer deve ser a melhor solução mesmo",0
Então vamo fumar cigarro e morrer é melhor 🖤,0
caraio hoje ainda é segunda feira eu não vejo a hora de MORRER,0
"pqp tenho q fazer mt coisa, eu já posso morrer né?",0
Segunda com s de só qro morrer,0
Belo dia p morrer,0
Eu quero tanto morrer...,0
Simplesmente quero morrer,0
"só quero morrer, será q é pedir muito",0
quero apenas morrer,0
CARALHO EU SÓ QUERO MORRER.,0
Eu quero morrer quem aguenta isso pqp,0
"mano eu só quero ó, morrer",0
ja quero morrer,0
eu só quero morrer,0
Por que eu ainda quero morrer?,0
ai eu quero morrer e não é brincadeira,0
Todo dia eu falo o quanto eu quero morrer e não é sacanagem,0
Eu quero morrer. Sem condições.,0
Eu estou pronto sempre para morrer,0
Jogar por empate é suicídio,1
taxa de suicídio dobrando?????? pq ngm tá falando disso meu deusss,1
"Faltei aula de história dnv, minha mãe vai me matar kkkk",1
☄️ cometa suicídio,1
"Ainda não acredito que o Fill cometeu suicídio, foda...",1
Sara vai me matar,1
"Meu orgulho ainda vai me matar, mas enquanto isso eu sigo firme",1
Meu dentista vai me matar...,1
será que vou conseguir me formar na faculdade antes do aquecimento global matar todo mundo,1
Essa dúvida vai me matar!,1
"ja não tive aula terça e quarta,ainda perco a hr hoje,meu pai vai me matar",1
OLHA QUE VC N TINHA O DIREITO DE ME MATAR ASSIM N VIU,1
Me diz como você está ? A saudade ainda vai me matar 🎶,1
Vou me matar pq errei coisa idiota na folinha,1
amg vc quer me matar de amores,1
Minha mãe vai me matar,1
com fome e com preguiça isso ainda vai me matar,1
esse negocio de querer ficar sozinha e de querer alguem ao mesmo tempo ainda vai me matar kkkkkkkkkk,1
Esse homem ainda vai me matar,1
Essa mulher ainda vai me matar,1
Talvez faltar tenha me poupado de matar um pediatra,1
quer me matar logo cedo meu anjo????????,1
"Não sou de odiar as pessoas , mas quando pego ódio , nada me faz voltar atrás . Só de ver a cara da pessoa já quero matar um",1
pr q estudar se o aquecimento global vai me matar msm?,1
Aumentei meu plano de internet sem querer meu pai vai me matar,1
Gustavo vai me matar de ansiedade aaaaaah,1
"Que dor na garganta, flamengo ainda vai me matar brother",1
Pelo menos eu namorei antes do aquecimento global me matar,1
